Qatar,141442.2155195282
Luxembourg,98459.52004262751
Singapore,83689.42435879324
Kuwait,73513.29038838796
Brunei Darussalam,71444.89878086053
United Arab Emirates,67921.39946440485
Norway,65702.19615089273
Switzerland,59535.799744395204
United States,54398.54937703374
Saudi Arabia,52200.22679562671
Ireland,49376.843431751324
Netherlands,48253.334142686625
Austria,47706.48824733459
Germany,46393.87651538419
Denmark,45995.87271012346
Australia,45937.3000394505
Bahrain,45666.48945247377
Sweden,45297.76552087621
Canada,45024.90992907933
Iceland,43993.29286385765
Belgium,43409.240892328286
Finland,40693.751240551515
United Kingdom,40217.16374878183
France,39163.194501500395
Oman,38771.838102034504
New Zealand,37711.520408011624
Japan,36577.210614828706
Italy,35419.395308423846
Equatorial Guinea,34870.57986875165
Israel,33703.42504152562
Spain,33625.4281084707
Trinidad and Tobago,32083.799608369023
Czech Republic,31185.8787015268
Slovenia,30402.67730179192
Cyprus,30295.21277921481
Portugal,28759.984457554143
Slovak Republic,28326.529930705234
Estonia,28139.93944063627
Lithuania,27685.92176683321
Greece,26794.748748666436
Seychelles,26518.460383376914
Malaysia,25732.26523206189
Kazakhstan,25689.220661543226
Poland,25262.27218656031
Russian Federation,25094.72710055681
Hungary,25060.50528830925
Latvia,23547.979399950294
St. Kitts and Nevis,23326.14339111313
Antigua and Barbuda,22157.581622872716
Chile,22128.5576684484
Croatia,21635.10502899269
Panama,21102.675346509597
Uruguay,20859.2491387487
Romania,20372.07018316148
Gabon,19501.117639094304
Turkey,19390.38113726731
Mauritius,18659.660102446123
Belarus,18250.563216841296
Azerbaijan,17584.68534793954
Mexico,17356.922644808765
Bulgaria,17207.59533493214
Suriname,16698.36520678739
Barbados,16116.487565159008
Botswana,15990.94376591178
Brazil,15951.22121857949
Thailand,15755.0634649584
Libya,15654.098869652806
Turkmenistan,15529.864455362596
Montenegro,15054.755005503706
Costa Rica,14972.584315057404
Iraq,14914.654659600907
Algeria,14259.028942082508
Lebanon,14172.665325796297
Palau,13965.907779370005
Serbia,13698.566426316303
Colombia,13376.6306574434
Dominican Republic,13310.75300960797
China,13254.642984356027
Maldives,12575.453961968902
Grenada,12470.389534471504
Peru,12046.987919667998
Mongolia,11996.588503373792
Ecuador,11413.21297286221
Tunisia,11307.800170085573
Sri Lanka,11195.694275629483
Albania,11167.02257306271
Dominica,10917.074249073
Jordan,10774.868226250097
St. Vincent and the Grenadines,10772.817046527616
St. Lucia,10772.259837852596
Indonesia,10553.1873508433
Bosnia and Herzegovina,10426.917278387207
Namibia,9985.283392706186
Georgia,9204.318673058868
Paraguay,8943.914456762972
Jamaica,8910.175324448917
Fiji,8824.60897701726
Ukraine,8666.90291325019
Belize,8461.957885233434
El Salvador,8338.330344197708
Swaziland,8322.385105194182
Armenia,8099.208325779285
Bhutan,7844.2203270504615
Morocco,7518.058667320908
Guatemala,7476.092384463571
Angola,7317.834073265349
Guyana,7245.244692917765
Philippines,6994.433757395826
Bolivia,6654.038846469432
Nigeria,5932.831331984824
Samoa,5811.322248985327
India,5672.189443571948
Vietnam,5649.587591844219
Uzbekistan,5593.475486289612
Lao PDR,5340.305699200185
Tonga,5230.151294383801
Moldova,5010.411570561132
Nicaragua,4952.343435850984
Honduras,4926.616328813001
Pakistan,4828.94243814692
West Bank and Gaza,4544.245659061486
Ghana,4096.584493853269
Sudan,4084.2136160984037
Mauritania,3885.6933646988823
Marshall Islands,3816.5797009811336
Zambia,3810.6610364780922
Tuvalu,3779.0597301546645
Kyrgyz Republic,3347.162620313118
Djibouti,3282.3602405340835
Cambodia,3274.5607323950676
Cote d'Ivoire,3270.1373889781776
Sao Tome and Principe,3187.8599422335114
Bangladesh,3134.1542517550483
Vanuatu,3041.631126521749
Cameroon,2983.0830403002697
Kenya,2965.15548672265
Papua New Guinea,2865.178988202346
Tajikistan,2700.584240834165
Lesotho,2647.9541218276718
Tanzania,2547.1679574259474
Nepal,2382.889211643351
Senegal,2330.4596407612526
Mali,2301.32166434321
Timor-Leste,2203.6928319807325
Chad,2181.852455244099
Solomon Islands,2138.223018846289
Benin,2037.5862051881204
South Sudan,2026.2523068065693
Sierra Leone,2019.0037481520046
Afghanistan,1939.9541249315896
Kiribati,1815.641712353689
Zimbabwe,1798.0598116160686
Uganda,1777.327190437409
Haiti,1738.9141229633685
Rwanda,1667.3326454198916
Burkina Faso,1626.2669133016811
Ethiopia,1505.2389777443354
Madagascar,1441.9712712823587
Comoros,1434.5005240588787
Togo,1406.7649736409694
Guinea-Bissau,1405.9898932631477
Guinea,1225.7440576600907
Malawi,1172.760183170869
Mozambique,1135.7326879180312
Niger,948.6713168410789
Liberia,845.4642054780767
Burundi,772.6951222399837
Central African Republic,571.8774579752269
Micronesia. Fed. Sts.,0
Bahamas. The,0
Argentina,0.0
Curacao,0.0
Congo. Rep.,0
Syrian Arab Republic,0.0
Myanmar,0.0
Macedonia. FYR,0
Cuba,0.0
Turks and Caicos Islands,0.0
Monaco,0.0
Iran. Islamic Rep.,0
Northern Mariana Islands,0.0
Korea. Rep.,0
Macao SAR. China,0
Cayman Islands,0.0
Venezuela. RB,0
Greenland,0.0
South Africa,0
Puerto Rico,0.0
St. Martin (French part),0.0
Malta,0.0
Congo. Dem. Rep.,0
Virgin Islands (U.S.),0.0
American Samoa,0.0
Gibraltar,0.0
Guam,0.0
Liechtenstein,0.0
Sint Maarten (Dutch part),0.0
Hong Kong SAR. China,0
San Marino,0.0
Egypt. Arab Rep.,0
Eritrea,-0.0
Gambia. The,0
French Polynesia,0.0
Aruba,0.0
Channel Islands,0.0
Isle of Man,0.0
Andorra,0.0
Bermuda,0.0
Yemen. Rep.,0
Somalia,0.0
New Caledonia,0.0
